nom_station,nom_operateur,adresse_station,consolidated_commune,puissance_nominale,paiement_cb,paiement_acte,observations,tarification,consolidated_latitude,consolidated_longitude
R3 - Chenôve - Norauto,R3,1 Rue Bernard Lecache,Chenôve,150.0,False,False,,,47.283116,5.019991
R3 - Chenôve - Norauto,R3,1 Rue Bernard Lecache,Chenôve,150.0,False,False,,,47.283116,5.019991
R3 - Chenôve - Norauto,R3,1 Rue Bernard Lecache,Chenôve,22.08,False,False,,,47.283116,5.019991
R3 - Quetigny - Norauto,R3,"C Des Charrieres, Rue des Chalands Z A",,150.0,False,False,,,47.311365,5.101673
R3 - Quetigny - Norauto,R3,"C Des Charrieres, Rue des Chalands Z A",,150.0,False,False,,,47.311365,5.101673
R3 - Quetigny - Norauto,R3,"C Des Charrieres, Rue des Chalands Z A",,22.08,False,False,,,47.311365,5.101673
R3 - Dijon Toison d'Or - Norauto,R3,Rte de Langres,Dijon,150.0,False,False,,,47.357667,5.047325
R3 - Dijon Toison d'Or - Norauto,R3,Rte de Langres,Dijon,150.0,False,False,,,47.357667,5.047325
R3 - Dijon Toison d'Or - Norauto,R3,Rte de Langres,Dijon,22.08,False,False,,,47.357667,5.047325
R3 - Choisey - Cuisines Schmidt,R3,2 Rue des Cournues,,150.0,False,False,,,47.067673,5.453566
R3 - Choisey - Cuisines Schmidt,R3,2 Rue des Cournues,,150.0,False,False,,,47.067673,5.453566
R3 - Choisey - Cuisines Schmidt,R3,2 Rue des Cournues,,22.08,False,False,,,47.067673,5.453566
R3 - Choisey - Cuisines Schmidt,R3,2 Rue des Cournues,,150.0,False,False,,,47.067673,5.453566
R3 - Choisey - Cuisines Schmidt,R3,2 Rue des Cournues,,150.0,False,False,,,47.067673,5.453566
R3 - Choisey - Cuisines Schmidt,R3,2 Rue des Cournues,,7.36,False,False,,,47.067673,5.453566
R3 - Choisey - Cuisines Schmidt,R3,2 Rue des Cournues,,7.36,False,False,,,47.067673,5.453566
PARKING AU MUET - SAVIGNY-LE-SEC,ELECTRIC 55 CHARGING,"5, Rte d'Is sur Tille 21380 Savigny-le-Sec",Savigny-le-Sec,22.08,FALSE,TRUE,,,47.430648,5.054554
PARKING AU MUET - SAVIGNY-LE-SEC,ELECTRIC 55 CHARGING,"5, Rte d'Is sur Tille 21380 Savigny-le-Sec",Savigny-le-Sec,22.08,FALSE,TRUE,,,47.430648,5.054554
Porsche Sales & Marketplace Centre Porsche Dijon CP1,Porsche Sales & Marketplace,"Rue Paul Langevin 7, 21300 Chenove",,0,true,true,,,47.28364786,5.01624162
Porsche Sales & Marketplace Centre Porsche Dijon CP2,Porsche Sales & Marketplace,"Rue Paul Langevin 7, 21300 Chenove",,0,true,true,,,47.28346138,5.0161412
Porsche Destination Charging Les Sources de Vougeot,Porsche Sales & Marketplace,"Château de Gilly, Place du Château 2, 21640 Gilly-lès-Citeaux",,0,true,true,,,47.1716,4.98188
Porsche Destination Charging Les Sources de Vougeot,Porsche Sales & Marketplace,"Château de Gilly, Place du Château 2, 21640 Gilly-lès-Citeaux",,0,true,true,,,47.1716,4.98188
Porsche Destination Charging Les Sources de Vougeot,Porsche Sales & Marketplace,"Château de Gilly, Place du Château 2, 21640 Gilly-lès-Citeaux",,0,true,true,,,47.1716,4.98188
Porsche Destination Charging Les Sources de Vougeot,Porsche Sales & Marketplace,"Château de Gilly, Place du Château 2, 21640 Gilly-lès-Citeaux",,0,true,true,,,47.1716,4.98188
Porsche Destination Charging Country Club Norges - Golf Dijon Bourgogne,Porsche Sales & Marketplace,"Allée Jacques Laffite, 21490 Norges-la-Ville",,0,false,true,,,47.4076,5.07107
Porsche Destination Charging Les Sources de Vougeot,Porsche Sales & Marketplace,"Château de Gilly, Place du Château 2, 21640 Gilly-lès-Citeaux",,0,true,true,,,47.1716,4.98188
Porsche Destination Charging Country Club Norges - Golf Dijon Bourgogne,Porsche Sales & Marketplace,"Allée Jacques Laffite, 21490 Norges-la-Ville",,0,false,true,,,47.4076,5.07107
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,22,false,false,,49 cts/kWh,47.2842211,5.0223036
Allego - Géant Casino Dijon Chenôve,Allego,"Rue De Longvic, 21300 Chenôve",,0,true,true,,,47.284221,5.022303
Allego - Géant Casino Dijon Chenôve,Allego,Rue De Longvic,Chenôve,22.0,True,True,,,47.2842211,5.0223036
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,22,false,false,,49 cts/kWh,47.2842211,5.0223036
Allego - Géant Casino Dijon Chenôve,Allego,"Rue De Longvic, 21300 Chenôve",,0,true,true,,,47.284221,5.022303
Allego - Géant Casino Dijon Chenôve,Allego,Rue De Longvic,Chenôve,22.0,True,True,,,47.2842211,5.0223036
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,22,false,false,,49 cts/kWh,47.284263,5.022089
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,22,false,false,,49 cts/kWh,47.284263,5.022089
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,22,false,false,,49 cts/kWh,47.2842211,5.0223036
Allego - Géant Casino Dijon Chenôve,Allego,"Rue De Longvic, 21300 Chenôve",,0,true,true,,,47.284221,5.022303
Allego - Géant Casino Dijon Chenôve,Allego,Rue De Longvic,Chenôve,22.0,True,True,,,47.2842211,5.0223036
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,22,false,false,,49 cts/kWh,47.2842211,5.0223036
Allego - Géant Casino Dijon Chenôve,Allego,"Rue De Longvic, 21300 Chenôve",,0,true,true,,,47.284221,5.022303
Allego - Géant Casino Dijon Chenôve,Allego,Rue De Longvic,Chenôve,22.0,True,True,,,47.2842211,5.0223036
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,22,false,false,,49 cts/kWh,47.284263,5.022089
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,22,false,false,,49 cts/kWh,47.284263,5.022089
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,300,true,false,,59 cts/kWh,47.2842211,5.0223036
Allego - Géant Casino Dijon Chenôve,Allego,"Rue De Longvic, 21300 Chenôve",,0,true,true,,,47.284221,5.022303
Allego - Géant Casino Dijon Chenôve,Allego,Rue De Longvic,Chenôve,300.0,True,True,,,47.2842211,5.0223036
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,300,true,false,,59 cts/kWh,47.2842211,5.0223036
Allego - Géant Casino Dijon Chenôve,Allego,"Rue De Longvic, 21300 Chenôve",,0,true,true,,,47.284221,5.022303
Allego - Géant Casino Dijon Chenôve,Allego,Rue De Longvic,Chenôve,300.0,True,True,,,47.2842211,5.0223036
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,300,true,false,,59 cts/kWh,47.284263,5.022089
CASINO DIJON CHENOVE,Green To Wheel,Rue de Longvic21300 CHENOVE,Chenôve,300,true,false,,59 cts/kWh,47.284263,5.022089
